ID;DATUM;TYZDEN;C_1;C_2;C_3;C_4;C_5;C_6;C_7;C_8;C_9;C_10;C_11;C_12;C_13;C_14;C_15;C_16;C_17;C_18;C_19;C_20
998;21.10.2001;42;6;13;14;15;17;24;27;28;29;36;43;44;46;47;55;61;68;77;78;79
999;22.10.2001;43;7;8;13;16;20;29;34;35;41;43;46;48;52;54;55;68;77;78;79;80
1000;23.10.2001;43;2;8;11;13;18;25;26;27;36;43;51;53;54;56;57;59;62;72;75;79
1001;24.10.2001;43;6;11;16;19;22;23;28;30;45;49;56;58;64;65;66;67;72;74;77;78
1002;25.10.2001;43;8;13;16;28;29;30;31;33;34;37;48;55;56;62;67;70;71;72;74;80
1003;26.10.2001;43;6;7;9;19;20;31;48;50;51;59;65;66;68;69;70;71;75;77;78;79
1004;27.10.2001;43;2;4;6;11;12;13;14;17;26;27;31;36;39;44;45;48;56;62;70;75
1005;28.10.2001;43;5;7;10;15;16;23;24;38;47;49;52;55;56;60;63;69;72;77;79;80
1006;29.10.2001;44;4;7;8;11;22;25;28;30;36;39;45;48;59;62;63;65;70;73;75;77
1007;30.10.2001;44;1;3;20;29;30;31;32;34;37;39;43;48;55;59;60;61;66;69;75;80
1008;31.10.2001;44;3;4;15;17;29;35;39;40;47;52;53;54;58;64;70;71;74;76;78;79
1009;1.11.2001;44;2;4;7;12;13;14;15;16;18;19;25;27;32;40;42;43;47;50;60;69
1010;2.11.2001;44;7;17;18;21;26;29;33;35;40;41;44;48;49;54;56;66;71;72;75;77
1011;3.11.2001;44;11;13;19;21;22;30;39;40;47;49;55;60;62;66;70;71;74;75;77;79
1012;4.11.2001;44;8;9;12;13;14;15;20;24;26;28;35;43;46;55;64;69;73;75;76;78
1013;5.11.2001;45;6;7;9;15;17;19;24;25;28;31;33;52;54;57;61;63;64;65;74;77
1014;6.11.2001;45;1;3;4;6;7;10;11;13;23;26;29;32;36;38;41;44;59;67;75;79
1015;7.11.2001;45;2;3;4;11;12;18;19;20;24;25;28;34;42;54;59;61;63;74;78;79
1016;8.11.2001;45;5;12;15;20;24;25;29;30;32;38;41;43;48;51;52;54;61;68;74;79
1017;9.11.2001;45;11;17;19;24;26;35;37;39;42;44;45;57;60;63;71;72;74;75;76;79
1018;10.11.2001;45;3;11;13;14;16;17;21;22;33;34;35;38;52;55;57;60;61;73;74;80
1019;11.11.2001;45;3;6;11;18;20;21;32;35;38;42;50;52;54;56;63;64;66;73;75;79
1020;12.11.2001;46;3;4;5;7;12;14;21;22;24;27;30;37;39;43;46;49;52;59;61;74
1021;13.11.2001;46;5;7;9;10;20;21;23;30;33;40;46;49;50;58;64;66;68;74;77;78
1022;14.11.2001;46;10;11;12;22;27;31;36;37;40;41;43;46;47;53;59;71;72;77;78;80
1023;15.11.2001;46;13;17;19;25;32;34;37;38;44;47;49;59;61;62;65;67;69;73;75;80
1024;16.11.2001;46;4;6;7;10;24;28;38;40;43;45;48;50;51;56;62;67;68;74;77;80
1025;17.11.2001;46;1;3;4;13;21;22;26;27;28;29;30;42;48;50;52;57;58;65;76;77
1026;18.11.2001;46;8;18;25;26;27;31;35;37;43;48;50;51;53;55;58;63;71;72;73;75
1027;19.11.2001;47;2;4;5;6;9;10;17;21;31;32;33;37;48;52;53;59;72;73;76;79
1028;20.11.2001;47;3;6;14;19;21;22;25;26;32;40;43;47;54;55;60;63;64;67;70;74
1029;21.11.2001;47;6;7;10;13;15;19;21;24;27;33;47;48;52;55;57;60;62;66;69;79
1030;22.11.2001;47;1;2;3;6;13;14;15;19;28;29;32;35;57;61;62;64;68;69;72;74
1031;23.11.2001;47;3;4;7;10;11;12;24;27;31;35;40;48;61;67;69;71;74;77;78;79
1032;24.11.2001;47;2;8;10;11;12;17;20;24;26;36;38;43;46;48;51;58;62;73;76;79
1033;25.11.2001;47;3;4;16;21;22;25;26;28;30;41;42;43;49;56;67;68;69;70;73;76
1034;26.11.2001;48;3;6;7;12;15;24;25;30;35;37;41;45;46;50;53;59;63;69;74;78
1035;27.11.2001;48;1;9;12;14;16;18;22;25;27;34;36;44;50;53;58;61;68;72;73;80
1036;28.11.2001;48;3;7;12;14;15;22;23;24;25;28;48;51;54;60;65;70;71;74;78;79
1037;29.11.2001;48;1;7;8;11;14;18;19;20;32;38;44;50;53;55;58;61;68;69;79;80
1038;30.11.2001;48;5;8;16;18;23;25;26;27;29;32;34;41;47;50;54;55;56;57;60;75
1039;1.12.2001;48;1;3;13;17;21;25;27;28;30;32;40;47;50;53;57;59;63;68;70;75
1040;2.12.2001;48;2;4;6;7;14;16;26;40;54;56;57;58;60;61;64;65;66;67;70;71
1041;3.12.2001;49;2;7;9;14;16;17;24;27;38;44;47;52;54;58;59;65;68;78;79;80
1042;4.12.2001;49;2;3;5;7;10;18;26;28;29;30;31;32;35;40;41;44;54;73;75;78
1043;5.12.2001;49;1;4;6;8;22;27;28;32;33;39;40;42;58;64;69;73;74;78;79;80
1044;6.12.2001;49;2;6;11;20;23;27;30;42;43;46;48;50;51;58;62;66;68;69;78;80
1045;7.12.2001;49;1;9;10;12;17;18;27;32;33;39;48;52;61;65;69;72;73;76;79;80
1046;8.12.2001;49;4;7;9;12;13;16;20;26;28;30;38;40;46;62;67;68;69;75;77;80
1047;9.12.2001;49;1;2;3;9;12;18;20;25;26;31;36;38;43;54;55;58;60;62;69;74
1048;10.12.2001;50;9;13;16;20;23;28;29;39;42;49;54;60;63;69;70;73;74;75;78;80
1049;11.12.2001;50;8;10;12;14;20;21;25;34;36;38;40;45;47;52;55;57;62;64;74;77
1050;12.12.2001;50;3;9;10;14;19;20;21;43;44;45;46;49;51;53;54;60;62;65;67;78
1051;13.12.2001;50;2;3;9;12;17;18;29;37;39;40;42;49;50;51;66;68;71;77;79;80
1052;14.12.2001;50;1;2;10;11;17;22;23;30;31;35;38;46;47;49;52;57;58;64;69;77
1053;15.12.2001;50;3;5;11;20;21;22;28;30;34;41;47;53;56;58;59;66;68;73;75;76
1054;16.12.2001;50;1;2;7;12;13;16;19;20;23;31;37;39;40;48;53;57;59;62;73;80
1055;17.12.2001;51;6;7;12;14;25;26;27;36;38;40;45;54;55;56;63;64;68;69;73;74
1056;18.12.2001;51;1;3;6;7;10;12;18;22;24;28;31;33;35;40;43;46;74;75;77;79
1057;19.12.2001;51;3;10;12;13;16;17;19;28;29;36;37;40;41;45;47;56;67;72;78;79
1058;20.12.2001;51;1;7;13;14;16;17;25;28;31;37;40;46;50;53;59;62;67;73;78;79
1059;21.12.2001;51;3;4;5;11;13;14;18;19;22;26;29;31;43;45;48;49;55;57;72;76
1060;22.12.2001;51;4;5;6;12;13;20;27;30;32;33;35;37;38;39;67;69;70;73;77;78
1061;23.12.2001;51;2;6;13;19;26;30;32;36;38;39;42;49;51;54;63;66;71;73;78;79
1062;24.12.2001;52;7;9;12;19;20;22;24;25;37;41;43;45;47;55;65;70;71;72;74;77
1063;27.12.2001;52;16;17;28;29;30;34;35;37;39;41;42;46;49;50;55;59;62;66;73;79
1064;28.12.2001;52;5;8;16;17;19;32;35;39;40;41;51;52;53;55;56;60;62;65;70;73
1065;29.12.2001;52;4;6;8;12;14;22;33;36;37;48;55;56;62;64;68;69;70;71;74;76
1066;30.12.2001;52;1;3;12;16;20;25;28;30;41;45;51;52;55;63;65;69;70;72;78;80
1067;31.12.2001;53;1;7;12;14;17;19;21;24;28;42;45;51;54;58;59;60;64;68;71;79
1068;2.1.2002;1;2;5;10;14;17;24;25;27;41;42;43;48;56;57;60;61;68;72;75;77
1069;3.1.2002;1;1;2;8;9;17;18;19;20;25;32;34;36;38;46;49;51;54;66;69;72
1070;4.1.2002;1;2;5;13;15;21;22;23;26;35;43;46;51;53;54;58;59;66;72;73;74
1071;5.1.2002;1;5;6;8;20;26;28;42;43;44;51;52;55;56;57;59;62;64;72;75;76
1072;6.1.2002;1;5;10;15;16;25;27;29;32;36;37;40;44;50;51;53;55;61;65;69;76
1073;7.1.2002;2;8;11;18;19;20;21;22;25;26;32;37;42;49;52;65;68;70;71;72;76
1074;8.1.2002;2;6;9;10;15;23;27;29;31;34;37;46;48;53;54;56;60;62;65;72;80
1075;9.1.2002;2;5;7;10;14;18;23;27;30;34;43;45;51;53;59;60;62;64;74;77;80
1076;10.1.2002;2;3;7;10;11;15;18;23;28;29;37;53;55;57;60;67;68;69;71;75;78
1077;11.1.2002;2;9;11;15;22;26;33;39;41;51;53;55;57;58;63;64;66;71;72;73;78
1078;12.1.2002;2;2;3;4;7;13;14;15;19;29;30;36;39;42;45;47;50;59;65;75;76
1079;13.1.2002;2;3;5;8;10;17;27;34;38;47;50;51;55;58;60;62;64;65;73;79;80
1080;14.1.2002;3;3;6;8;11;12;13;19;24;35;47;49;50;52;53;56;65;71;72;78;79
1081;15.1.2002;3;2;8;20;21;22;28;30;36;37;38;43;51;55;56;60;61;64;67;72;74
1082;16.1.2002;3;4;8;11;13;21;24;25;28;29;38;43;46;54;58;62;63;69;73;76;78
1083;17.1.2002;3;1;5;11;14;16;20;35;37;38;41;45;46;49;56;68;70;71;74;77;78
1084;18.1.2002;3;1;4;14;17;21;22;28;40;42;43;47;48;50;51;52;56;60;64;65;73
1085;19.1.2002;3;1;3;7;13;14;15;16;19;23;24;30;31;47;50;59;60;62;64;67;77
1086;20.1.2002;3;2;4;5;8;9;11;12;24;26;39;45;46;50;52;54;56;67;75;76;80
1087;21.1.2002;4;5;10;13;22;23;34;48;49;51;54;57;58;59;60;61;65;70;76;77;80
1088;22.1.2002;4;1;3;5;6;9;12;16;30;34;38;45;48;52;56;60;66;69;70;78;80
1089;23.1.2002;4;1;5;7;18;26;29;33;39;42;50;52;56;60;62;67;71;72;73;76;80
1090;24.1.2002;4;2;5;6;10;19;20;22;23;27;34;37;46;53;56;60;63;66;76;77;78
1091;25.1.2002;4;4;5;10;11;14;17;19;22;29;31;36;38;47;49;55;56;69;74;79;80
1092;26.1.2002;4;4;7;10;17;28;31;33;36;38;42;43;48;49;54;62;63;72;73;74;79
1093;27.1.2002;4;5;8;9;13;14;21;24;25;29;30;47;48;51;56;59;61;62;67;70;74
1094;28.1.2002;5;4;7;19;26;27;39;40;42;43;46;51;57;63;64;66;70;72;77;78;79
1095;29.1.2002;5;2;5;9;19;20;25;28;32;37;47;49;50;52;55;61;64;68;72;73;79
1096;30.1.2002;5;1;2;10;12;13;14;18;20;21;30;34;38;41;42;46;48;51;64;70;77
1097;31.1.2002;5;16;20;24;25;26;33;36;38;40;46;47;49;51;60;64;67;71;72;74;78
1098;1.2.2002;5;1;5;10;15;26;28;30;33;35;36;38;40;43;50;57;64;66;70;72;78
1099;2.2.2002;5;3;6;7;8;14;17;18;23;26;27;29;31;32;34;36;54;57;68;72;78
1100;3.2.2002;5;4;6;8;14;17;24;30;35;38;42;50;51;52;55;58;63;65;66;73;79
1101;4.2.2002;6;2;3;5;13;19;21;27;31;32;35;40;45;48;49;51;54;60;63;65;69
1102;5.2.2002;6;5;6;8;10;16;26;27;30;38;44;46;48;55;62;65;66;67;68;70;80
1103;6.2.2002;6;5;10;14;15;19;21;24;25;39;44;56;59;61;62;63;64;68;69;70;75
1104;7.2.2002;6;5;7;9;13;15;20;22;23;24;28;30;32;46;55;57;58;61;65;66;72
1105;8.2.2002;6;1;2;3;4;10;20;21;30;38;45;47;48;52;57;58;66;70;72;73;77
1106;9.2.2002;6;1;4;5;6;24;25;28;37;45;46;48;50;58;60;63;69;72;73;79;80
1107;10.2.2002;6;3;4;6;7;8;11;12;15;16;19;24;25;33;34;41;53;55;62;77;79
1108;11.2.2002;7;2;6;8;17;18;28;35;39;40;41;46;47;48;50;56;58;63;67;70;78
1109;12.2.2002;7;1;10;14;33;34;35;37;43;44;45;48;55;58;61;62;65;68;69;70;75
1110;13.2.2002;7;4;8;13;25;26;28;30;33;34;38;42;43;45;48;52;54;60;67;75;76
1111;14.2.2002;7;6;9;13;14;15;16;17;23;26;35;48;49;52;56;60;62;64;72;73;76
1112;15.2.2002;7;4;5;7;8;14;20;22;31;43;45;46;47;51;53;55;56;62;71;75;78
1113;16.2.2002;7;2;4;12;14;15;16;18;26;29;37;45;50;53;58;62;63;67;73;75;80
1114;17.2.2002;7;8;14;15;17;18;31;35;36;39;41;49;56;60;64;65;67;74;76;77;78
1115;18.2.2002;8;1;2;8;9;10;12;14;18;32;40;41;42;48;54;63;65;69;72;74;80
1116;19.2.2002;8;5;7;8;10;12;13;21;27;28;31;32;39;44;46;47;49;59;75;77;80
1117;20.2.2002;8;2;3;4;9;21;24;29;30;32;34;45;47;49;53;54;55;61;63;64;66
1118;21.2.2002;8;4;11;13;20;22;23;25;27;29;30;38;40;43;46;52;62;64;68;71;77
1119;22.2.2002;8;1;3;11;18;25;26;29;31;37;41;44;45;48;50;52;60;65;69;77;78
1120;23.2.2002;8;1;4;5;7;20;21;26;27;33;44;46;49;52;56;57;58;62;64;73;79
1121;24.2.2002;8;2;6;9;11;12;14;15;17;28;30;32;33;36;44;50;51;56;66;69;78
1122;25.2.2002;9;2;6;9;10;22;23;24;33;38;47;49;51;52;56;58;60;63;65;79;80
1123;26.2.2002;9;2;3;7;8;13;14;18;23;24;28;36;37;53;62;67;71;73;75;76;79
1124;27.2.2002;9;1;5;14;18;21;23;27;29;32;38;40;42;44;48;52;58;62;63;71;79
1125;28.2.2002;9;5;9;15;16;17;29;34;35;37;38;39;52;54;56;58;60;62;68;70;80
1126;1.3.2002;9;6;7;10;12;22;24;25;27;28;37;38;44;47;54;57;61;66;67;70;72
1127;2.3.2002;9;1;5;8;13;14;21;22;23;26;30;32;35;38;48;52;53;55;60;66;78
1128;3.3.2002;9;5;13;14;15;19;21;22;29;35;43;53;59;60;66;68;71;72;74;75;76
1129;4.3.2002;10;1;7;10;15;17;18;22;33;34;35;36;38;44;45;50;56;57;63;69;76
1130;5.3.2002;10;2;4;10;11;12;23;32;35;36;37;45;46;47;60;63;66;70;73;79;80
1131;6.3.2002;10;2;5;8;9;10;15;16;21;22;28;29;41;51;53;56;62;64;67;70;72
1132;7.3.2002;10;8;9;15;19;36;41;43;44;45;47;48;52;53;58;62;63;65;68;69;76
1133;8.3.2002;10;3;5;7;9;11;19;23;26;30;31;36;38;42;43;54;55;58;59;66;70
1134;9.3.2002;10;3;4;6;11;23;27;28;31;33;39;46;49;58;60;62;64;67;68;75;76
1135;10.3.2002;10;3;4;14;18;21;23;25;33;35;39;46;48;49;50;55;57;59;77;78;80
1136;11.3.2002;11;1;2;4;8;11;26;27;29;31;33;39;43;54;59;61;65;66;70;72;75
1137;12.3.2002;11;2;5;6;8;13;14;15;16;30;46;49;56;59;62;66;68;70;72;76;79
1138;13.3.2002;11;1;16;18;22;23;31;32;34;38;40;41;42;43;55;56;59;60;70;73;79
1139;14.3.2002;11;2;5;7;9;14;19;22;23;26;47;49;50;55;62;67;68;70;72;76;77
1140;15.3.2002;11;1;4;7;8;9;20;21;26;29;36;41;42;43;50;51;52;63;72;73;77
1141;16.3.2002;11;2;4;8;9;12;14;25;32;38;42;44;56;64;65;66;71;72;74;77;79
1142;17.3.2002;11;4;5;9;10;15;27;29;32;34;35;36;39;50;58;59;65;71;72;75;78
1143;18.3.2002;12;1;3;8;12;20;24;25;27;30;32;39;40;49;60;66;70;73;74;79;80
1144;19.3.2002;12;1;17;20;22;30;33;39;43;45;46;51;53;54;61;62;68;69;71;78;80
1145;20.3.2002;12;3;7;14;16;20;24;27;28;37;47;50;54;61;66;68;69;72;76;77;79
1146;21.3.2002;12;6;8;9;14;21;22;28;34;44;45;52;54;62;64;66;68;74;75;77;79
1147;22.3.2002;12;3;4;6;14;19;21;22;24;25;30;32;55;58;60;67;68;71;72;76;79
1148;23.3.2002;12;8;16;19;22;30;36;44;47;49;50;54;55;60;67;69;71;74;76;77;79
1149;24.3.2002;12;1;8;15;20;30;33;37;41;45;48;49;50;51;53;55;60;65;67;72;79
1150;25.3.2002;13;2;3;4;6;7;9;10;11;14;26;32;38;39;42;43;45;50;59;73;79
1151;26.3.2002;13;2;7;10;18;26;27;30;39;45;50;51;53;56;57;59;64;65;66;68;77
1152;27.3.2002;13;3;14;17;21;25;27;31;33;35;42;46;48;52;56;59;60;63;74;76;79
1153;28.3.2002;13;9;11;16;19;21;23;29;37;39;42;44;47;48;50;61;62;64;67;71;77
1154;29.3.2002;13;7;9;15;17;19;20;23;25;27;36;38;41;53;60;65;67;71;72;75;79
1155;30.3.2002;13;2;5;6;12;18;19;20;22;24;26;32;36;40;41;50;62;70;72;75;78
1156;31.3.2002;13;5;11;18;22;27;28;35;42;46;50;51;52;53;59;63;66;68;70;73;75
1157;2.4.2002;14;2;4;5;7;8;13;17;23;27;30;31;45;47;48;54;59;62;73;76;80
1158;3.4.2002;14;6;7;8;10;14;23;29;35;37;47;54;55;58;61;67;69;75;76;77;79
1159;4.4.2002;14;3;4;6;10;21;32;38;39;49;51;54;59;63;66;67;71;73;74;76;77
1160;5.4.2002;14;14;17;22;25;31;34;38;45;52;55;56;58;59;64;68;71;72;74;77;79
1161;6.4.2002;14;2;4;9;11;18;25;35;43;44;45;50;57;58;59;60;66;70;75;77;78
1162;7.4.2002;14;4;6;7;9;15;20;21;23;24;25;28;32;42;44;51;56;65;72;73;77
1163;8.4.2002;15;1;2;6;7;8;16;19;24;26;30;32;35;40;48;56;61;70;75;77;79
1164;9.4.2002;15;3;8;11;12;15;23;26;32;39;46;48;51;56;57;58;60;63;73;74;77
1165;10.4.2002;15;1;2;10;16;20;21;26;27;36;38;39;47;49;53;59;61;70;74;75;80
1166;11.4.2002;15;2;5;6;10;11;14;16;17;19;22;32;39;40;45;47;52;57;65;75;77
1167;12.4.2002;15;1;2;12;15;17;22;38;40;42;52;53;54;55;57;60;63;68;72;77;78
1168;13.4.2002;15;4;12;13;18;20;24;31;35;43;51;52;53;56;58;60;65;66;69;77;78
1169;14.4.2002;15;8;10;17;18;27;28;34;35;36;38;43;54;59;61;63;64;65;67;73;75
1170;15.4.2002;16;3;6;13;21;31;34;36;37;38;40;41;43;44;45;49;62;71;72;74;76
1171;16.4.2002;16;5;12;13;17;22;23;25;28;33;34;42;45;47;57;59;62;64;67;68;76
1172;17.4.2002;16;1;8;15;21;26;29;30;33;35;43;46;47;50;51;62;67;69;70;77;78
1173;18.4.2002;16;1;4;10;12;13;14;20;27;29;38;40;55;56;57;67;71;72;76;77;80
1174;19.4.2002;16;3;4;6;19;23;30;31;32;33;38;42;48;55;56;58;59;63;71;72;78
1175;20.4.2002;16;15;16;18;24;26;32;33;36;43;46;50;55;58;59;60;67;69;70;73;76
1176;21.4.2002;16;3;7;10;25;32;38;43;44;46;48;56;57;64;67;68;69;70;72;73;75
1177;22.4.2002;17;6;12;13;15;21;35;38;39;45;46;55;59;60;61;63;65;71;72;75;80
1178;23.4.2002;17;5;10;14;15;19;20;21;26;30;41;42;43;44;53;57;64;66;68;69;70
1179;24.4.2002;17;8;13;15;16;20;24;29;32;36;39;40;44;50;56;58;59;67;75;77;80
1180;25.4.2002;17;6;8;25;26;27;33;39;40;46;47;49;50;52;56;65;66;68;71;78;80
1181;26.4.2002;17;2;5;11;12;13;15;27;32;35;37;41;42;43;44;49;50;68;69;72;77
1182;27.4.2002;17;5;11;12;21;24;31;33;47;48;57;58;63;65;68;69;72;73;74;77;80
1183;28.4.2002;17;5;14;15;19;22;24;25;27;28;32;38;40;47;55;56;60;62;63;64;66
1184;29.4.2002;18;8;10;19;22;29;30;31;32;33;38;43;49;52;54;56;59;61;63;70;75
1185;30.4.2002;18;1;8;23;26;34;37;39;52;53;56;57;58;59;60;61;69;70;74;77;79
1186;1.5.2002;18;2;4;5;9;11;16;27;32;33;34;38;49;55;56;59;63;69;74;77;78
1187;2.5.2002;18;2;4;7;8;11;16;26;27;36;38;42;44;49;53;68;70;75;77;78;80
1188;3.5.2002;18;2;11;14;17;18;23;30;32;36;44;46;55;60;64;69;70;74;76;77;79
1189;4.5.2002;18;3;5;7;9;13;28;30;33;34;38;40;45;52;54;59;62;67;68;69;80
1190;5.5.2002;18;5;7;12;14;17;20;21;23;27;32;34;39;45;50;59;68;69;70;71;76
1191;6.5.2002;19;2;5;6;8;12;30;32;34;42;46;47;48;56;59;63;67;69;70;71;73
1192;7.5.2002;19;3;10;13;14;18;20;23;26;29;31;39;44;51;54;56;60;63;67;68;80
1193;8.5.2002;19;1;2;5;10;23;28;33;34;43;44;47;49;52;56;61;63;66;71;74;80
1194;9.5.2002;19;2;3;5;9;14;19;20;23;33;35;40;44;48;49;56;60;61;71;72;74
1195;10.5.2002;19;5;10;11;16;19;20;27;32;34;35;37;40;52;53;58;59;60;64;72;78
1196;11.5.2002;19;1;5;6;7;16;22;23;27;30;31;33;42;43;45;48;56;58;60;62;74
1197;12.5.2002;19;4;10;17;18;31;33;35;37;40;47;56;57;61;67;68;69;71;77;78;79
1198;13.5.2002;20;1;2;4;10;11;16;32;34;44;47;48;56;61;62;63;68;71;73;79;80
1199;14.5.2002;20;1;5;14;18;19;21;26;28;29;32;33;35;37;42;43;48;58;70;72;75
1200;15.5.2002;20;2;5;6;13;21;27;30;38;39;41;43;49;54;55;60;65;68;72;74;79
1201;16.5.2002;20;3;13;14;16;20;22;25;26;35;36;41;43;46;47;54;57;64;66;70;72
1202;17.5.2002;20;7;8;16;18;20;21;29;36;38;42;44;49;51;54;59;60;61;66;67;69
1203;18.5.2002;20;2;3;8;11;13;14;18;31;32;37;41;44;45;46;51;57;62;66;71;79
1204;19.5.2002;20;4;5;9;10;18;28;30;32;34;38;42;47;48;49;50;52;59;68;72;78
1205;20.5.2002;21;11;14;16;17;19;23;30;33;35;37;42;47;51;57;65;71;73;76;77;80
1206;21.5.2002;21;1;3;5;7;10;13;17;19;36;44;51;55;59;61;62;70;71;72;79;80
1207;22.5.2002;21;2;11;18;21;24;29;35;36;37;38;41;43;48;51;57;58;63;67;73;76
1208;23.5.2002;21;3;4;5;18;29;30;31;36;37;38;40;50;59;62;63;64;65;69;73;74
1209;24.5.2002;21;1;3;7;10;12;20;22;25;26;27;38;41;49;58;59;60;65;66;69;75
1210;25.5.2002;21;13;19;27;28;31;32;33;38;43;44;46;48;50;52;55;62;66;68;73;79
1211;26.5.2002;21;2;4;7;8;14;20;21;28;37;39;41;50;57;62;63;69;73;75;77;79
1212;27.5.2002;22;16;19;22;23;24;25;27;28;29;30;31;38;45;49;50;51;55;64;66;71
1213;28.5.2002;22;1;3;12;23;24;25;34;42;48;55;56;59;60;63;66;70;72;73;75;76
1214;29.5.2002;22;2;3;5;20;25;28;31;35;40;42;45;46;49;50;56;57;58;64;68;71
1215;30.5.2002;22;8;10;16;17;21;28;31;34;36;45;48;49;51;52;53;54;69;71;74;80
1216;31.5.2002;22;9;13;14;18;19;20;28;39;43;45;51;58;59;60;61;62;68;75;76;78
1217;1.6.2002;22;1;9;18;19;25;28;30;34;36;38;42;45;54;55;56;57;72;73;74;77
1218;2.6.2002;22;1;2;12;16;21;31;36;37;40;42;43;44;51;55;56;61;65;66;70;80
1219;3.6.2002;23;4;6;13;16;19;34;50;53;57;61;63;64;65;67;69;71;72;73;75;80
1220;4.6.2002;23;1;3;14;20;23;24;31;40;46;48;51;53;54;55;61;67;68;70;74;80
1221;5.6.2002;23;6;14;19;21;28;29;36;43;45;52;57;58;60;63;65;70;73;74;79;80
1222;6.6.2002;23;1;5;6;15;26;27;30;32;35;37;38;42;43;45;51;54;57;72;74;77
1223;7.6.2002;23;2;17;18;23;25;28;30;36;40;41;44;50;53;55;59;60;64;67;71;73
1224;8.6.2002;23;1;5;6;13;15;25;28;31;33;35;37;50;53;58;69;73;74;75;76;78
1225;9.6.2002;23;2;4;5;10;14;19;20;27;28;39;45;49;51;52;54;65;67;73;75;77
1226;10.6.2002;24;3;7;11;18;25;27;28;32;34;43;49;53;55;61;63;64;68;69;70;74
1227;11.6.2002;24;2;4;11;12;13;14;19;22;25;28;35;36;48;50;53;54;61;65;76;77
1228;12.6.2002;24;2;4;16;18;22;23;28;29;32;40;47;48;49;58;63;64;69;75;76;78
1229;13.6.2002;24;2;4;7;10;16;25;31;32;33;41;49;50;56;62;66;72;73;74;76;77
1230;14.6.2002;24;3;8;9;12;16;19;30;34;35;45;49;52;57;66;69;70;71;74;75;77
1231;15.6.2002;24;1;11;20;22;26;27;29;30;31;33;34;37;38;41;46;56;65;70;72;75
1232;16.6.2002;24;1;3;6;9;11;16;23;25;27;31;35;36;38;44;50;55;57;65;77;79
1233;17.6.2002;25;2;5;9;14;17;20;24;28;32;33;39;42;43;45;54;70;71;75;77;79
1234;18.6.2002;25;2;3;5;9;10;16;29;31;39;43;44;49;60;61;62;73;77;78;79;80
1235;19.6.2002;25;1;19;23;25;26;33;36;37;38;39;48;50;54;58;59;61;62;66;75;79
1236;20.6.2002;25;3;4;9;20;25;27;34;40;45;49;53;56;59;61;63;66;67;69;70;79
1237;21.6.2002;25;5;15;19;22;23;25;27;34;35;36;38;44;47;49;55;59;60;68;75;77
1238;22.6.2002;25;3;7;11;14;17;19;20;22;26;27;36;44;46;52;56;70;73;75;78;80
1239;23.6.2002;25;4;7;18;22;26;31;35;39;43;45;46;49;50;56;60;66;71;77;78;79
1240;24.6.2002;26;14;15;23;24;27;28;32;37;39;45;46;51;52;53;60;67;71;74;77;78
1241;25.6.2002;26;4;5;6;8;9;10;13;17;22;23;32;33;35;36;38;55;66;69;70;79
1242;26.6.2002;26;4;7;8;11;18;21;32;37;40;46;47;52;58;67;69;71;74;77;78;79
1243;27.6.2002;26;3;16;17;19;23;26;27;30;35;38;39;46;58;59;61;64;69;71;72;77
1244;28.6.2002;26;4;12;15;23;32;35;37;38;40;43;46;47;51;52;57;63;69;74;77;79
1245;29.6.2002;26;4;5;8;12;18;25;35;36;40;47;48;54;56;59;60;61;69;73;74;75
1246;30.6.2002;26;3;4;10;18;19;25;27;31;34;35;37;45;50;55;57;60;63;76;78;79
1247;1.7.2002;27;3;6;10;12;16;24;26;30;32;38;42;46;49;50;53;55;60;73;74;78
1248;2.7.2002;27;3;4;6;8;18;22;31;32;43;46;52;60;64;65;66;69;70;71;72;77
1249;3.7.2002;27;2;5;7;9;10;12;24;31;37;40;48;56;58;60;61;63;64;70;75;77
1250;4.7.2002;27;4;7;8;9;13;21;23;27;29;32;39;42;46;58;59;62;65;72;79;80
1251;5.7.2002;27;1;7;12;15;25;26;27;30;35;40;42;43;44;45;47;57;58;64;77;80
1252;6.7.2002;27;3;4;18;19;23;24;25;29;38;45;46;53;54;55;56;61;62;67;72;80
1253;7.7.2002;27;2;7;16;17;19;26;27;29;34;40;49;50;57;60;61;62;67;69;71;77
1254;8.7.2002;28;2;10;21;27;30;31;33;36;37;42;43;45;50;52;53;54;56;58;68;69
1255;9.7.2002;28;1;4;9;13;15;18;22;23;27;33;35;37;39;47;59;65;68;72;74;77
1256;10.7.2002;28;1;10;17;20;22;27;33;42;43;47;48;50;56;57;58;62;64;70;73;78
1257;11.7.2002;28;4;5;6;7;9;15;36;38;39;53;54;55;58;61;66;68;70;73;74;80
1258;12.7.2002;28;4;6;7;9;11;14;22;36;38;45;47;48;51;52;57;61;63;74;78;80
1259;13.7.2002;28;12;14;21;22;25;26;28;30;32;44;48;49;51;54;58;65;66;69;71;79
1260;14.7.2002;28;7;8;9;14;15;22;25;26;28;32;35;39;42;47;51;56;66;70;73;74
1261;15.7.2002;29;6;13;14;22;33;44;45;48;52;56;58;59;62;69;73;75;76;77;78;79
1262;16.7.2002;29;1;4;11;13;24;25;31;32;35;36;38;45;46;47;51;57;61;65;67;72
1263;17.7.2002;29;1;3;6;20;25;31;35;47;55;59;63;64;65;67;71;72;76;77;79;80
1264;18.7.2002;29;1;9;10;15;18;20;23;33;34;36;43;48;49;59;63;69;73;76;77;78
